#
#     Code: data.txt 
#
#     Author:  Joshua Peterson
#   
#     Date:            Data for MCNP or scale
#
#     Description:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
########################################  

 Name   Name      Identifier  Mass (amu)  Nuclide_Type_1_act_2_U+_3_fp
ti-50      ti50      22050      49.9448          1
ti-51      ti51      22051      50.9466          1
ti-52      ti52      22052      51.9469          1
ti-53      ti53      22053      52.9497          1
ti-54      ti54      22054      53.951           1
ti-55      ti55      22055      54.9553          1
ti-56      ti56      22056      55.9582          1
ti-57      ti57      22057      56.964           1
ti-58      ti58      22058      57.967           1
ti-59      ti59      22059      58.9729          1
ti-60      ti60      22060      59.9768          1
ti-61      ti61      22061      60.9832          1
ti-62      ti62      22062      61.9875          1
ti-63      ti63      22063      62.9944          1
v-40      v40      23040      40.0111            1
v-41      v41      23041      40.9998            1
v-42      v42      23042      41.9912            1
v-43      v43      23043      42.9807            1
v-44      v44      23044      43.9741            1
v-45      v45      23045      44.9658            1
v-46      v46      23046      45.9602            1
v-47      v47      23047      46.9549            1
v-48      v48      23048      47.9523            1
v-49      v49      23049      48.9485            1
v-50      v50      23050      49.9472            1
v-51      v51      23051      50.944             1
v-52      v52      23052      51.9448            1
v-53      v53      23053      52.9443            1
v-54      v54      23054      53.9464            1
v-55      v55      23055      54.9472            1
v-56      v56      23056      55.9505            1
v-57      v57      23057      56.9526            1
v-58      v58      23058      57.9568            1
v-59      v59      23059      58.9602            1
v-60      v60      23060      59.965             1
v-61      v61      23061      60.9685            1
v-62      v62      23062      61.9738            1
v-63      v63      23063      62.9776            1
v-64      v64      23064      63.9835            1
v-65      v65      23065      64.9879            1
cr-42      cr42      24042      42.0064          1
cr-43      cr43      24043      42.9977          1
cr-44      cr44      24044      43.9855          1
cr-45      cr45      24045      44.9796          1
cr-46      cr46      24046      45.9684          1
cr-47      cr47      24047      46.9629          1
cr-48      cr48      24048      47.954           1
cr-49      cr49      24049      48.9513          1
cr-50      cr50      24050      49.946           1
cr-51      cr51      24051      50.9448          1
cr-52      cr52      24052      51.9405          1
cr-53      cr53      24053      52.9407          1
cr-54      cr54      24054      53.9389          1
cr-55      cr55      24055      54.9408          1
cr-56      cr56      24056      55.9407          1
cr-57      cr57      24057      56.9436          1
cr-58      cr58      24058      57.9444          1
cr-59      cr59      24059      58.9486          1
cr-60      cr60      24060      59.9501          1
cr-61      cr61      24061      60.9547          1
cr-62      cr62      24062      61.9566          1
cr-63      cr63      24063      62.9619          1
cr-64      cr64      24064      63.9644          1
cr-65      cr65      24065      64.9702          1
cr-66      cr66      24066      65.9734          1
cr-67      cr67      24067      66.9796          1
mn-44      mn44      25044      44.0069          1
mn-45      mn45      25045      44.9945          1
mn-46      mn46      25046      45.9867          1
mn-47      mn47      25047      46.9761          1
mn-48      mn48      25048      47.9685          1
mn-49      mn49      25049      48.9596          1
mn-50      mn50      25050      49.9542          1
mn-51      mn51      25051      50.9482          1
mn-52      mn52      25052      51.9456          1
mn-53      mn53      25053      52.9413          1
mn-54      mn54      25054      53.9404          1
mn-55      mn55      25055      54.938           1
mn-56      mn56      25056      55.9389          1
mn-57      mn57      25057      56.9383          1
mn-58      mn58      25058      57.94            1
mn-59      mn59      25059      58.9404          1
mn-60      mn60      25060      59.9429          1
mn-61      mn61      25061      60.9446          1
mn-62      mn62      25062      61.9484          1
mn-63      mn63      25063      62.9502          1
mn-64      mn64      25064      63.9543          1
mn-65      mn65      25065      64.9563          1
mn-66      mn66      25066      65.9611          1
mn-67      mn67      25067      66.9641          1
mn-68      mn68      25068      67.9693          1
mn-69      mn69      25069      68.9728          1
fe-45      fe45      26045      45.0146          1
fe-46      fe46      26046      46.0008          1
fe-47      fe47      26047      46.9929          1
fe-48      fe48      26048      47.9805          1
fe-49      fe49      26049      48.9736          1
fe-50      fe50      26050      49.963           1
fe-51      fe51      26051      50.9568          1
fe-52      fe52      26052      51.9481          1
fe-53      fe53      26053      52.9453          1
fe-54      fe54      26054      53.9396          1
fe-55      fe55      26055      54.9383          1
fe-56      fe56      26056      55.9349          1
fe-57      fe57      26057      56.9354          1
fe-58      fe58      26058      57.9333          1
fe-59      fe59      26059      58.9349          1
fe-60      fe60      26060      59.9341          1
fe-61      fe61      26061      60.9367          1
fe-62      fe62      26062      61.9368          1
fe-63      fe63      26063      62.9404          1
fe-64      fe64      26064      63.9412          1
fe-65      fe65      26065      64.9454          1
fe-66      fe66      26066      65.9468          1
fe-67      fe67      26067      66.951           1
fe-68      fe68      26068      67.9537          1
fe-69      fe69      26069      68.9588          1
fe-70      fe70      26070      69.9615          1
fe-71      fe71      26071      70.9667          1
